source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USGS-315018109014202,28S.21W.30.332A,,,31.838427,-109.028948,WGS84,4125.0,ft,275.0,ft,nitrate,mg/L,2,4.9,4.91,4.91,1965-04-21,,4.9,mg/L
WQP,USGS-315035107585801,28S.11W.29.23444,,,31.843155,-107.983365,WGS84,4530.0,ft,60.0,ft,nitrate,mg/L,2,100.0,101.82,100.91,1958-05-21,,100.0,mg/L
WQP,USGS-315036107310501,28S.07W.26.244,,,31.843433,-107.518632,WGS84,3998.0,ft,700.0,ft,nitrate,mg/L,2,2.08,2.1,2.09,1952-05-15,,2.1,mg/L
WQP,USGS-315053107203701,28S.05W.27.114,,,31.848156,-107.344183,WGS84,4060.0,ft,,ft,nitrate,mg/L,2,3.0,3.01,3.01,1962-03-01,,3.0,mg/L
WQP,USGS-315054107385201,28S.08W.27.120,,,31.848433,-107.648357,WGS84,4128.0,ft,310.0,ft,nitrate,mg/L,2,0.6,0.62,0.61,1965-05-11,,0.6,mg/L
WQP,USGS-315058107371301,28S.08W.26.222,,,31.849544,-107.620856,WGS84,4036.0,ft,700.0,ft,nitrate,mg/L,2,1.5,1.51,1.5,1952-05-15,,1.5,mg/L
WQP,USGS-315100107363301,28S.08W.25.211,,,31.8501,-107.609745,WGS84,4026.0,ft,529.0,ft,nitrate,mg/L,2,1.59,1.6,1.6,1952-08-08,,1.6,mg/L
WQP,USGS-315114106414901,28S.02E.24.341 ST-5,,,31.854,-106.697,WGS84,4104.0,ft,700.0,ft,nitrate,mg/L,2,0.15,0.15,0.15,2010-11-03,,0.151,mg/L
WQP,USGS-315136108253601,28S.16W.24.232,,,31.859262,-108.426712,WGS84,4800.0,ft,,ft,nitrate,mg/L,2,7.8,7.97,7.88,1955-05-10,,7.8,mg/L
WQP,USGS-315140108092701,28S.13W.22.124,,,31.861208,-108.158094,WGS84,4570.0,ft,,ft,nitrate,mg/L,2,0.09,0.1,0.09,1958-05-14,,0.1,mg/L
WQP,USGS-315147106415401,28S.02E.24.100,,,31.86316,-106.698881,WGS84,4111.0,ft,,ft,nitrate,mg/L,2,1.2,1.2,1.2,1947-05-01,,1.2,mg/L
WQP,USGS-315153106592301,28S.01W.19.111 DUP,,,31.864824,-106.990283,WGS84,4140.0,ft,,ft,nitrate,mg/L,2,0.8,0.8,0.8,1962-05-04,,0.8,mg/L
WQP,USGS-315242107533001,28S.10W.17.111,,,31.878432,-107.892252,WGS84,4330.0,ft,,ft,nitrate,mg/L,2,5.7,5.76,5.73,1958-05-14,,5.7,mg/L
WQP,USGS-315307107265401,28S.06W.10.31143,,,31.885694,-107.448972,WGS84,3987.0,ft,300.0,ft,nitrate,mg/L,2,1.99,2.0,2.0,1958-05-22,,2.0,mg/L
WQP,USGS-315310107333501,28S.07W.09.411,,,31.88621,-107.5603,WGS84,4028.0,ft,720.0,ft,nitrate,mg/L,4,0.2,1.6,0.9,1958-05-22,,0.2,mg/L
WQP,USGS-315313106503001,27S.01E.33.200,,,31.887047,-106.842221,WGS84,4140.0,ft,,ft,nitrate,mg/L,2,8.8,8.85,8.83,1947-05-01,,8.8,mg/L
WQP,USGS-315324107215701,28S.05W.08.224,,,31.890099,-107.366406,WGS84,3975.0,ft,90.0,ft,nitrate,mg/L,2,7.8,7.97,7.88,1958-05-22,,7.8,mg/L
WQP,USGS-315348106391801,28S.03E.05.4321,,,31.89677,-106.655548,WGS84,3780.0,ft,21.5,ft,nitrate,mg/L,7,0.35,312.1,48.75,1984-09-18,,8.01287,mg/L
WQP,USGS-315427107381001,28S.08W.02.111,,,31.907598,-107.636691,WGS84,4083.0,ft,503.0,ft,nitrate,mg/L,2,1.68,1.7,1.69,1968-07-17,,1.7,mg/L
WQP,USGS-315519106593101,27S.02W.36.224,,,31.922,-106.992,WGS84,4131.0,ft,500.0,ft,nitrate,mg/L,2,15.1,15.1,15.1,2010-11-18,,15.1,mg/L
WQP,USGS-315524108202901,27S.15W.26.434,,,31.923428,-108.341988,WGS84,4474.0,ft,,ft,nitrate,mg/L,2,8.41,8.6,8.51,1955-05-10,,8.6,mg/L
