source,id,location,usgs_site_id,alternate_site_id,latitude,longitude,horizontal_datum,elevation,elevation_units,well_depth,well_depth_units,parameter_name,parameter_units,nrecords,min,max,mean,most_recent_date,most_recent_time,most_recent_value,most_recent_units
WQP,USGS-354119105590501,17N.09E.21.4222,,,35.688641,-105.9853,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,7/25/1986,,0.008,mg/L
WQP,USGS-354143108083801,17N.12W.20.1111,,,35.695299,-108.144512,WGS84,6863,ft,2428,ft,arsenic,mg/L,1,0,0,0,7/14/1981,,0.001,mg/L
WQP,USGS-354247105582001,17N.08E.02.411,,,35.713222,-105.972528,WGS84,7115,ft,2000,ft,arsenic,mg/L,1,0,0,0,6/10/2014,,0.0049,mg/L
WQP,USGS-354256105550801,SANTA FE GRANT(354256105550801),,,35.715586,-105.919466,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/15/1986,,0.002,mg/L
WQP,USGS-354300105530502,17N.10E.09.32244A,,,35.716697,-105.885298,WGS84,,ft,560,ft,arsenic,mg/L,1,0,0,0,7/6/1977,,0.001,mg/L
WQP,USGS-354354105543001,17N.10E.05.3123 BISHOPS LODGE,,,35.731696,-105.90891,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/15/1986,,0.001,mg/L
WQP,USGS-354427106060601,18N.08E.33.14312 WINDMILL,,,35.749195,-106.102247,WGS84,6180,ft,400,ft,arsenic,mg/L,1,0.01,0.01,0.01,8/28/1986,,0.007,mg/L
WQP,USGS-354508106423201,18N.02E.34.232,,,35.752247,-106.70948,WGS84,,ft,,ft,arsenic,mg/L,1,0.15,0.15,0.15,9/27/1973,,0.15,mg/L
WQP,USGS-354522106420001,18N.02E.26.334,,,35.756136,-106.700591,WGS84,6160,ft,295,ft,arsenic,mg/L,1,0.01,0.01,0.01,7/3/1974,,0.005,mg/L
WQP,USGS-354553105555401,18N.09E.25.241,,,35.764751,-105.932244,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/28/1986,,0.002,mg/L
WQP,USGS-354555105554901,18N.09E.25.24211,,,35.765307,-105.930855,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,4/11/1974,,0.004,mg/L
WQP,USGS-354614106412901,18N.02E.23.432,,,35.77058,-106.69198,WGS84,,ft,,ft,arsenic,mg/L,1,0.78,0.78,0.78,5/30/1974,,0.78,mg/L
WQP,USGS-354623106025701,18N.08E.24.3144,,,35.773083,-106.049746,WGS84,6395,ft,350,ft,arsenic,mg/L,1,0,0,0,8/28/1986,,0.003,mg/L
WQP,USGS-354638106361501,18N.03E.36.444,,,35.777247,-106.604756,WGS84,,ft,,ft,arsenic,mg/L,4,0,0.03,0.01,3/4/1974,,0.009,mg/L
WQP,USGS-354729106411001,18N.02E.14.442,,,35.791413,-106.686702,WGS84,,ft,,ft,arsenic,mg/L,1,1.1,1.1,1.1,3/8/1973,,1.1,mg/L
WQP,USGS-354747106021701,18N.08E.13.224,,,35.796416,-106.038634,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/27/1986,,0.003,mg/L
WQP,USGS-354805105582501,18N.09E.10.32444,,,35.801417,-105.974189,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,6/7/1974,,0.002,mg/L
WQP,USGS-354832105540401,18N.10E.08.2133,,,35.808917,-105.901687,WGS84,7015,ft,130,ft,arsenic,mg/L,1,0.01,0.01,0.01,4/29/1977,,0.005,mg/L
WQP,USGS-354832105544901,18N.10E.07.2412,,,35.808917,-105.914188,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,7/28/1977,,0.001,mg/L
WQP,USGS-354908106083401,18N.07E.01.42244,,,35.818915,-106.143358,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,4/18/1974,,0.012,mg/L
WQP,USGS-354931105540501,18N.10E.05.2113,,,35.825306,-105.901965,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,7/28/1977,,0.003,mg/L
WQP,USGS-354935106085501,18N.07E.01.21231,,,35.826415,-106.149192,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,4/18/1974,,0.009,mg/L
WQP,USGS-354949106385601,19N.03E.32.331,,,35.830301,-106.64948,WGS84,6760,ft,155,ft,arsenic,mg/L,1,0.06,0.06,0.06,10/24/1973,,0.063,mg/L
WQP,USGS-354949106385602,19N.03E.32.331A,,,35.830301,-106.64948,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,3/21/1974,,0.005,mg/L
WQP,USGS-354950106092101,"CAJA DEL RIO GRANT WELL 2 BUCKMAN FLD NR SD, NM",,,35.830582,-106.156414,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,8/24/1978,,0.001,mg/L
WQP,USGS-354950107263401,19N.06W.35.3244,,,35.830576,-107.443382,WGS84,,ft,,ft,arsenic,mg/L,1,0,0,0,1/26/1976,,0.003,mg/L
WQP,USGS-354957106095101,19N.07E.36.311,,,35.8325,-106.164389,WGS84,5531,ft,910,ft,arsenic,mg/L,1,0.01,0.01,0.01,6/9/2014,,0.0084,mg/L
WQP,USGS-355002106093301,"CAJA DEL RIO GRANT WELL 1 BUCKMAN FLD NR SF,NM",,,35.833915,-106.159747,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,8/24/1978,,0.014,mg/L
WQP,USGS-355006106093001,"19N.07E.36.13343 BUCKMAN WELL 1 NR WHITE ROCK,NM",,,35.835026,-106.158914,WGS84,5513,ft,1093,ft,arsenic,mg/L,1,0.01,0.01,0.01,9/12/1979,,0.01,mg/L
WQP,USGS-355126107201701,19N.05W.23.3431,,,35.857242,-107.338657,WGS84,6585,ft,471,ft,arsenic,mg/L,1,0.01,0.01,0.01,1/15/1976,,0.006,mg/L
WQP,USGS-355152106023801,19N.8E.24 MW-4,,,35.865906,-106.043347,WGS84,6009.13,ft,85,ft,arsenic,mg/L,1,0,0,0,12/10/2014,,0.0027,mg/L
WQP,USGS-355208106024201,19N.8E.24 MW-3,,,35.869647,-106.045192,WGS84,5961.51,ft,128.07,ft,arsenic,mg/L,1,0,0,0,12/10/2014,,0.003,mg/L
WQP,USGS-355211106390701,19N.03E.19.222,,,35.869722,-106.652,WGS84,7947,ft,,ft,arsenic,mg/L,1,0,0,0,8/4/2023,,0.00056,mg/L
WQP,USGS-355220106110001,19N.07E.15.434 WELL LA-5,,,35.872247,-106.183914,WGS84,5840,ft,1750,ft,arsenic,mg/L,1,0,0,0,7/7/1997,,0.003,mg/L
WQP,USGS-355222105570201,19N.09E.14.44131,,,35.872804,-105.951133,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,4/9/1974,,0.009,mg/L
WQP,USGS-355224106024301,19N.8E.13 Windmill Well,,,35.873272,-106.045372,WGS84,5908.17,ft,80,ft,arsenic,mg/L,1,0,0,0,12/11/2014,,0.0015,mg/L
WQP,USGS-355224106032801,19N.8E.14 Industrial Park Well 1,,,35.873361,-106.057636,WGS84,5869.4,ft,800,ft,arsenic,mg/L,1,0.03,0.03,0.03,11/6/2014,,0.0276,mg/L
WQP,USGS-355231106102901,19N.07E.14.314 LOWER LOS ALAMOS OBS WELL 2 (LLAO2),,,35.875303,-106.175303,WGS84,,ft,,ft,arsenic,mg/L,1,0.01,0.01,0.01,9/9/1998,,0.006,mg/L
